屋号,住所,方書,エリア,業種,許可番号,初回許可日,許可開始日,判定,チェーン名,出典月,地図,検索
ｒｅｌｏａｄ　ＰＯＰＵＰ　ＳＰＡＣＥ　２－３,東京都世田谷区北沢三丁目19番20号,reload2-3区画,北沢,飲食店営業,8世保生食ほ第251号,2026-05-26,2026-05-26,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA20%E5%8F%B7,https://www.google.com/search?q=%EF%BD%92%EF%BD%85%EF%BD%8C%EF%BD%8F%EF%BD%81%EF%BD%84%E3%80%80%EF%BC%B0%EF%BC%AF%EF%BC%B0%EF%BC%B5%EF%BC%B0%E3%80%80%EF%BC%B3%EF%BC%B0%EF%BC%A1%EF%BC%A3%EF%BC%A5%E3%80%80%EF%BC%92%EF%BC%8D%EF%BC%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA20%E5%8F%B7
ｒｅｌｏａｄ　ＰＯＰＵＰ　ＳＰＡＣＥ　１－７,東京都世田谷区北沢三丁目19番20号,reload1-7区画,北沢,漬物製造業,8世保生食ほ第393号,2026-06-03,2026-06-03,個店,,令和8年6月,https://www.google.com/maps/search/?api=1&query=reload%20POPUP%20SPACE%201-7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA20%E5%8F%B7,https://www.google.com/search?q=reload%20POPUP%20SPACE%201-7%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA20%E5%8F%B7
ＴｅＮＭｉ,東京都世田谷区代沢五丁目32番7号,小林ビル2階,代沢,飲食店営業,8世保生食ほ第321号,2026-05-25,2026-05-25,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE32%E7%95%AA7%E5%8F%B7,https://www.google.com/search?q=%EF%BC%B4%EF%BD%85%EF%BC%AE%EF%BC%AD%EF%BD%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE32%E7%95%AA7%E5%8F%B7
元祖肉油堂　ＵＭＡＭＩ,東京都世田谷区北沢二丁目29番16号,マガザン下北沢B1,北沢,飲食店営業,8世保生食ほ第268号,2026-05-25,2026-05-25,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE29%E7%95%AA16%E5%8F%B7,https://www.google.com/search?q=%E5%85%83%E7%A5%96%E8%82%89%E6%B2%B9%E5%A0%82%E3%80%80%EF%BC%B5%EF%BC%AD%EF%BC%A1%EF%BC%AD%EF%BC%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE29%E7%95%AA16%E5%8F%B7
ＡＤＤＡ,東京都世田谷区代田二丁目36番14号,ボーナストラックsoho4,代田,飲食店営業,8世保生食ほ第272号,2026-05-21,2026-05-21,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA14%E5%8F%B7,https://www.google.com/search?q=%EF%BC%A1%EF%BC%A4%EF%BC%A4%EF%BC%A1%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%8C%E4%B8%81%E7%9B%AE36%E7%95%AA14%E5%8F%B7
ストーリーのある本屋,東京都世田谷区代田五丁目10番11号,-,代田,飲食店営業,8世保生食ほ第242号,2026-05-13,2026-05-13,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%94%E4%B8%81%E7%9B%AE10%E7%95%AA11%E5%8F%B7,https://www.google.com/search?q=%E3%82%B9%E3%83%88%E3%83%BC%E3%83%AA%E3%83%BC%E3%81%AE%E3%81%82%E3%82%8B%E6%9C%AC%E5%B1%8B%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E4%BA%94%E4%B8%81%E7%9B%AE10%E7%95%AA11%E5%8F%B7
ｓｎａｃｋ　Ｕｍｉ,東京都世田谷区北沢三丁目25番1号,MTビル4F,北沢,飲食店営業,8世保生食ほ第122号,2026-05-11,2026-05-11,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE25%E7%95%AA1%E5%8F%B7,https://www.google.com/search?q=%EF%BD%93%EF%BD%8E%EF%BD%81%EF%BD%83%EF%BD%8B%E3%80%80%EF%BC%B5%EF%BD%8D%EF%BD%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE25%E7%95%AA1%E5%8F%B7
ｃｏｅｎ　ｃａｆｅ月日／ｃｏｅｎ　ｂａｒえん川,東京都世田谷区代田六丁目6番1号,TOKYUREIT下北沢スクエア4階,代田,飲食店営業,8世保生食ほ第200号,2026-05-08,2026-05-08,個店,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE6%E7%95%AA1%E5%8F%B7,https://www.google.com/search?q=%EF%BD%83%EF%BD%8F%EF%BD%85%EF%BD%8E%E3%80%80%EF%BD%83%EF%BD%81%EF%BD%86%EF%BD%85%E6%9C%88%E6%97%A5%EF%BC%8F%EF%BD%83%EF%BD%8F%EF%BD%85%EF%BD%8E%E3%80%80%EF%BD%82%EF%BD%81%EF%BD%92%E3%81%88%E3%82%93%E5%B7%9D%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE6%E7%95%AA1%E5%8F%B7
Ｎｅｖｅｒ　Ｎｅｖｅｒ　Ｌａｎｄ,東京都世田谷区北沢三丁目19番3号,岩野ハイツ2F,北沢,飲食店営業,8世保生食ほ第115号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%EF%BC%AE%EF%BD%85%EF%BD%96%EF%BD%85%EF%BD%92%E3%80%80%EF%BC%AE%EF%BD%85%EF%BD%96%EF%BD%85%EF%BD%92%E3%80%80%EF%BC%AC%EF%BD%81%EF%BD%8E%EF%BD%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%89%E4%B8%81%E7%9B%AE19%E7%95%AA3%E5%8F%B7
ＬＩＶＥ　ＨＡＵＳ,東京都世田谷区北沢二丁目14番2号,Jow3ビルB1,北沢,飲食店営業,8世保生食ほ第58号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA2%E5%8F%B7,https://www.google.com/search?q=%EF%BC%AC%EF%BC%A9%EF%BC%B6%EF%BC%A5%E3%80%80%EF%BC%A8%EF%BC%A1%EF%BC%B5%EF%BC%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA2%E5%8F%B7
ＨＯＬＬＹ,東京都世田谷区北沢二丁目33番8号,第2片柳ビル1F,北沢,飲食店営業,8世保生食ほ第21号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE33%E7%95%AA8%E5%8F%B7,https://www.google.com/search?q=%EF%BC%A8%EF%BC%AF%EF%BC%AC%EF%BC%AC%EF%BC%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE33%E7%95%AA8%E5%8F%B7
Ｂａｒｒａｃｋ　Ｂｌｏｃｋ　Ｃａｆｅ,東京都世田谷区北沢二丁目19番15号,平和ビル4F,北沢,飲食店営業,7世保生食ほ第1972号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE19%E7%95%AA15%E5%8F%B7,https://www.google.com/search?q=%EF%BC%A2%EF%BD%81%EF%BD%92%EF%BD%92%EF%BD%81%EF%BD%83%EF%BD%8B%E3%80%80%EF%BC%A2%EF%BD%8C%EF%BD%8F%EF%BD%83%EF%BD%8B%E3%80%80%EF%BC%A3%EF%BD%81%EF%BD%86%EF%BD%85%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE19%E7%95%AA15%E5%8F%B7
Ｂａｒ　ｌｏａｄｅｄ,東京都世田谷区北沢二丁目40番15号,芦田ビル1F,北沢,飲食店営業,8世保生食ほ第26号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE40%E7%95%AA15%E5%8F%B7,https://www.google.com/search?q=%EF%BC%A2%EF%BD%81%EF%BD%92%E3%80%80%EF%BD%8C%EF%BD%8F%EF%BD%81%EF%BD%84%EF%BD%85%EF%BD%84%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE40%E7%95%AA15%E5%8F%B7
ＢＯＯＫＥＮＤＳ,東京都世田谷区北沢二丁目11番17号,佐藤店舗1階,北沢,飲食店営業,8世保生食ほ第69号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE11%E7%95%AA17%E5%8F%B7,https://www.google.com/search?q=%EF%BC%A2%EF%BC%AF%EF%BC%AF%EF%BC%AB%EF%BC%A5%EF%BC%AE%EF%BC%A4%EF%BC%B3%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE11%E7%95%AA17%E5%8F%B7
黒川食堂,東京都世田谷区北沢二丁目14番6号,イエローボックス2F,北沢,飲食店営業,8世保生食ほ第174号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA6%E5%8F%B7,https://www.google.com/search?q=%E9%BB%92%E5%B7%9D%E9%A3%9F%E5%A0%82%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA6%E5%8F%B7
織部　下北沢店,東京都世田谷区北沢二丁目2番3号,1F,北沢,飲食店営業,7世保生食ほ第1920号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE2%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%E7%B9%94%E9%83%A8%E3%80%80%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE2%E7%95%AA3%E5%8F%B7
尚点,東京都世田谷区代田六丁目3番26号,-,代田,飲食店営業,7世保生食ほ第1844号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE3%E7%95%AA26%E5%8F%B7,https://www.google.com/search?q=%E5%B0%9A%E7%82%B9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE3%E7%95%AA26%E5%8F%B7
喜家・手作り惣菜・弁当,東京都世田谷区北沢一丁目33番15号,-,北沢,飲食店営業,8世保生食ほ第23号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE33%E7%95%AA15%E5%8F%B7,https://www.google.com/search?q=%E5%96%9C%E5%AE%B6%E3%83%BB%E6%89%8B%E4%BD%9C%E3%82%8A%E6%83%A3%E8%8F%9C%E3%83%BB%E5%BC%81%E5%BD%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE33%E7%95%AA15%E5%8F%B7
佐助,東京都世田谷区北沢二丁目27番10号,クルス下北沢ビル1階,北沢,水産製品製造業,8世保生食ほ第178号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE27%E7%95%AA10%E5%8F%B7,https://www.google.com/search?q=%E4%BD%90%E5%8A%A9%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE27%E7%95%AA10%E5%8F%B7
ヴィレッジヴァンガード　ダイナー下北沢店,東京都世田谷区代田六丁目3番1号,リバブル下北沢B1F,代田,飲食店営業,8世保生食ほ第82号,2026-05-01,2026-05-01,更新,ヴィレッジヴァンガード,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE3%E7%95%AA1%E5%8F%B7,https://www.google.com/search?q=%E3%83%B4%E3%82%A3%E3%83%AC%E3%83%83%E3%82%B8%E3%83%B4%E3%82%A1%E3%83%B3%E3%82%AC%E3%83%BC%E3%83%89%E3%80%80%E3%83%80%E3%82%A4%E3%83%8A%E3%83%BC%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E7%94%B0%E5%85%AD%E4%B8%81%E7%9B%AE3%E7%95%AA1%E5%8F%B7
チャッチャ亭　下北沢店,東京都世田谷区北沢二丁目14番3号,喜多ビル1階,北沢,飲食店営業,8世保生食ほ第159号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%E3%83%81%E3%83%A3%E3%83%83%E3%83%81%E3%83%A3%E4%BA%AD%E3%80%80%E4%B8%8B%E5%8C%97%E6%B2%A2%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%BA%8C%E4%B8%81%E7%9B%AE14%E7%95%AA3%E5%8F%B7
キッチン　たくあん,東京都世田谷区代沢五丁目30番3号,川上ビル101,代沢,飲食店営業,8世保生食ほ第8号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE30%E7%95%AA3%E5%8F%B7,https://www.google.com/search?q=%E3%82%AD%E3%83%83%E3%83%81%E3%83%B3%E3%80%80%E3%81%9F%E3%81%8F%E3%81%82%E3%82%93%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%BB%A3%E6%B2%A2%E4%BA%94%E4%B8%81%E7%9B%AE30%E7%95%AA3%E5%8F%B7
りえ,東京都世田谷区北沢一丁目45番15号,すずなり横丁,北沢,飲食店営業,8世保生食ほ第41号,2026-05-01,2026-05-01,更新,,令和8年5月,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE45%E7%95%AA15%E5%8F%B7,https://www.google.com/search?q=%E3%82%8A%E3%81%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E5%8C%97%E6%B2%A2%E4%B8%80%E4%B8%81%E7%9B%AE45%E7%95%AA15%E5%8F%B7
